stage,tags,title,introdustion,time_max,method,
고등학생 이상,인공지능,AICOSS 캠퍼스 탐구생활,,10분,현장접수
고등학생 이상,데이터보안 활용융합,Drone Under Attack: 하늘 위의 드론 위협,하늘 위에서 벌어지는 사이버 위협의 실체를 직접 체험해보세요!,15분,현장접수 / 사전접수
고등학생 이상,차세대 디스플레이,차세대디스플레이 공정 XR 체험,"디스플레이 6.5G 공정 프로세스(증착기 내부, 실제 크기 등)을 체험",10분,현장접수
누구나,반도체 소부장,반도체 장비를 분해해보자,"반도체를 만드는 장비 내부를 보고, 뜯고, 조립해보는 VR 체험",15~30분,현장접수 / 사전접수
누구나,에코업,세종기후환경 네트워크 체험1 · 대기전력과 에너지소비효율등급,가전제품 대기전력과 에너지소비효율등급 알아보기,10분,현장접수 / 사전접수
누구나,사물 인터넷,"센서가 듣고, AI가 생각한다","센서가 내 목소리와 심장 소리를 읽고, AI가 판단하면 로봇이 곧바로 움직인다. 센서와 AI가 만드는 연결된 세상의 실험실.",5분,현장접수
누구나,이차전지,이차전지 제조공정 VR체험,"HMD를 착용하고, 이차전지 제조과정에 대한 VR영상을 통한 체험",30분,사전접수
누구나,에너지 신산업,플러스에너지 빌딩,건물 자체에서 소비하는 에너지보다 더 많은 에너지를 생산하여 순에너지 이익을 창출하는 차세대 친환경 건물을 직접 체험,10분,현장접수
중학생 이상,이차전지,보조배터리 제작 체험 (보조배터리 만들어 봤어? 안 만들어 봤으면 말을 하지마!),보조배터리 툴킷(Toolkit)을 활용한 제작 체험,1시간,사전접수
중학생 이상,에너지 신산업,수소연료전지 자동차 만들기,,40분,사전접수
중학생 이상,에너지 신산업,수소자동차 롱롱,수소자동차의 원리를 이해하고 직접 만들어보는 체험형 프로그램,40분,사전접수
중학생 이상,사물인터넷,스마트음식 디지털 트윈 체험,모바일 로봇과 수질센서를 활용한 자율 환경 관리 체험,30분,현장접수
중학생 이상,데이터보안 활용융합,우리의 친절한 로봇의 반란,"해커의 손에 넘어가 멈추고 조작되는 순간, 로봇 해킹의 실체를 체험!",15분,?
중학생 이상,에너지 신산업,작은발전기,친환경에너지를 이해하고 내손으로 만들어보는 발전기,40분,사전접수
중학생 이상,데이터보안 활용융합,"탈출하라, 사이버 보안 위기속 탈출기",주변 단서를 조합해 사이버 위기 속 위협을 탈출하는 방탈출 게임!,30분,현장접수 / 사전접수
중학생 이상,에너지 신산업,태양광 강아지 로봇 만들기,,60분,현장접수 / 사전접수
중학생 이상,데이터보안 활용융합,해킹이 부른 의료 사고,실제 의료기기 해킹 시연으로 환자 생명에 미치는 치명적 위험을 확인!,10분,현장접수 / 사전접수
중학생 이상,지능형 로봇,휴머노이드 이론교육 및 미션수행,,90분,사전접수
초등학생 고학년 이상,실감 미디어,“꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행”(실감미디어 메타버스 플랫폼 투어),,?,?
초등학생 고학년 이상,실감 미디어,“디지털숲 영상 오디세이”,,30분,사전접수
초등학생 고학년 이상,실감 미디어,“진짜처럼 짜릿! 햅틱 손맛 체험존”(VR 기반의 햅틱 디바이스 체험),,?,?
초등학생 고학년 이상,실감 미디어,“톡톡 튀는 콘텐츠! 실감 팡팡 체험존”(실감미디어 경진대회 우수작품 체험),,10분,현장접수
초등학생 고학년 이상,인공지능,3분 아티스트 - 나만의 AI 아트 팝업 갤러리,,10분,현장접수
초등학생 고학년 이상,사물인터넷,AIoT 스마트 조명,경량 AI와 IoT로 만드는 나만의 스마트 조명,10분,현장접수
초등학생 고학년 이상,미래 자동차,AWS DeepRacer 자율주행 체험,,10분,현장접수 / 사전접수
초등학생 고학년 이상,항공드론,UAM 조종 시뮬레이터 체험,블록코딩을 활용한 드론 실습 및 체험교육,30분 이내,?
초등학생 고학년 이상,항공드론,드론 장애물 경주 체험,드론을 수동으로 조종하여 다양한 미션을 수행하는 체험 프로그램,30분 이내,현장접수
초등학생 고학년 이상,지능형로봇,로봇아 멍멍해봐(4족보행로봇 활용 체험),,60분,현장접수
초등학생 고학년 이상,항공드론,블록코딩을 활용한 드론제어,블록코딩을 활용한 드론 실습 및 체험교육,90분 이내,현장접수 / 사전접수
초등학생 고학년 이상,에코업,세종기후환경네트워크 체험2 LED로 그리는 탄소 중립,탄소중립 조명 만들기(아크릴 LED등 만들기),20분,현장접수 / 사전접수
초등학생 고학년 이상,차세대 반도체,"어서와, 반도체 회로제작은 처음이지?",,30분,현장접수(회차 운영)
초등학생 고학년 이상,에코업,에코업 6대 과제 탈출놀이,에코업 6대 과제를 통해 탈출하는 프로그램,15분,?
초등학생 고학년 이상,인공지능,우리동네 AI 안전교실 체험,,?,?
초등학생 고학년 이상,지능형로봇,유선 스파이더로봇 만들기,,?,?
초등학생 고학년 이상,지능형로봇,자이로 일반주행로봇 만들기,,60분,사전접수
초등학생 고학년 이상,첨단소재 나노융합,첨단소재워터랩: 모래의 비밀,모래가 씨앗의 수분 공급과 싹틔움에 미치는 원리를 통해 첨단소재의 개념 체험,40분,사전접수
초등학생 고학년 이상,지능형로봇,청소로봇 만들기,,?,?
초등학생 이상,첨단소재 나노융합,3D펜으로 만드는 첨단소재 창의공작소,3D펜과 첨단소재로 상상을 입체로 구현하는 창의 체험 프로그램,30분,현장접수
초등학생 이상,지능형 로봇,AI 드론 및 로봇·오목 로봇 체험,,10분,현장접수
초등학생 이상,데이터보안 활용융합,AI가 만든 가짜를 잡아라,숨은 단서를 찾아 AI가 만든 가짜와 사람의 진짜를 구분해보세요.,?,?
초등학생 이상,지능형 로봇,ROBO SHOW,,상시,현장접수
초등학생 이상,그린 바이오,Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!,애그테크(Ag-Tech) 접목 우주 농사 체험! 상추 생장 환경을 제어해 우주 농부 인증 받기,25분,현장접수
초등학생 이상,차세대 디스플레이,T-OLED 액자,투명 OLED를 사용하여 원하는 이미지를 액자로 찰칵!,5분,현장접수
초등학생 이상,지능형 로봇,경주로봇 만들기,,60분,?
초등학생 이상,바이오 헬스,"기술로 되찾는 움직임, 로봇이 전하는 회복의 미래",,10분,현장접수 / 사전접수
초등학생 이상,바이오 헬스,"생명의 코드, 우리 몸과 DNA",,60분,사전접수
초등학생 이상,첨단소재 나노융합,손끝에서 펼쳐지는 스트레처블 첨단연구소재,쭈욱 늘어나는 스트레처블(유연 고분자) 소재 과학 체험,40분,사전접수
초등학생 이상,에너지 신산업,수소밸류체인 VR 체험 프로그램,,10분,사전접수
초등학생 이상,데이터보안 활용융합,"스마트홈 캠 해킹, 누군가 지켜보고 있다.",스마트홈 해킹 시연을 통해 사생활 침해의 실체를 확인하세요.,10분,현장접수 / 사전접수
초등학생 이상,에너지 신산업,업사이클링 카드지갑 만들기,친환경 소재로 만들어보는 나만의 카드지갑,30분,?
초등학생 이상,바이오 헬스,"이동의 경계를 넘어, 게임으로 확장된 세상",,4분,현장접수 / 사전접수
초등학생 이상,차세대 통신,인공위성 통신 체험관,인공위성 발사부터 통신까지! 위성 통신 체험하기!,15분,현장접수 / 사전접수
초등학생 이상,차세대 디스플레이,키네틱LED Interactive,실시간 동작 감지로 키네틱LED를 체험,10분,현장접수
초등학생 이상,바이오 헬스,"피부 위의 예술, 인체 속의 과학",,15분,?
,빅데이터,Scent Memory,,5분,현장접수
,빅데이터,기베이의 대모험,,?,현장접수
,빅데이터,나는 누구일까?,,5~10분,현장접수
,빅데이터,"나의 왕자님, 공주님을 찾아라!",,?,현장접수
,빅데이터,너 내 동료가 되라!,,?,현장접수
,빅데이터,빅데이터 어워즈,,5분,현장접수
